 age(yr) M*(M_sun) L*(L_sun) T(K) R*(R_sun)
185 9.1011396758e+03 1.2993001880e+02 1.9470259200e+06 5.7226085901e+04 1.4196292334e+01
186 8.9059627378e+03 1.3492552204e+02 2.0651409146e+06 5.7474536101e+04 1.4494426906e+01
187 8.1749420856e+03 1.3992494085e+02 2.1859214112e+06 5.7716295565e+04 1.4787594284e+01
188 7.8728516644e+03 1.4492221565e+02 2.3073234593e+06 5.7943763779e+04 1.5073634819e+01
189 7.2203872654e+03 1.4992379994e+02 2.4307934457e+06 5.8172913555e+04 1.5350041327e+01
190 6.9226032963e+03 1.7491042211e+02 3.0603789741e+06 5.9115340275e+04 1.6678783426e+01
191 6.1206450605e+03 1.9990186971e+02 3.7175799144e+06 5.9849177198e+04 1.7934568842e+01
192 6.0341770455e+03 2.2488369499e+02 4.3933131112e+06 6.0437344458e+04 1.9118881569e+01
193 5.8282772729e+03 2.4986860698e+02 5.0854650936e+06 6.0918818387e+04 2.0246014761e+01
194 5.3576775486e+03 2.7485898160e+02 5.7951554101e+06 6.1326846255e+04 2.1325952253e+01
195 5.2326261822e+03 2.9984279827e+02 6.5155946359e+06 6.1672086466e+04 2.2360262497e+01
